fold,retrain_date,train_end,test_start,test_end,train_days,test_days,leakage
4,2006-07-01,2006-06-30,2006-07-05,2006-10-01,314,62,False
5,2006-10-01,2006-09-29,2006-10-03,2007-01-01,377,62,False
6,2007-01-01,2006-12-29,2007-01-04,2007-04-01,440,60,False
7,2007-04-01,2007-03-30,2007-04-03,2007-07-01,501,62,False
8,2007-07-01,2007-06-29,2007-07-03,2007-10-01,564,63,False
9,2007-10-01,2007-10-01,2007-10-02,2008-01-01,628,63,False
10,2008-01-01,2007-12-31,2008-01-03,2008-04-01,691,61,False
11,2008-04-01,2008-04-01,2008-04-02,2008-07-01,753,64,False
12,2008-07-01,2008-07-01,2008-07-02,2008-10-01,817,64,False
13,2008-10-01,2008-10-01,2008-10-02,2009-01-01,881,63,False
14,2009-01-01,2008-12-31,2009-01-05,2009-04-01,944,61,False
15,2009-04-01,2009-04-01,2009-04-02,2009-07-01,1006,63,False
16,2009-07-01,2009-07-01,2009-07-02,2009-10-01,1069,64,False
17,2009-10-01,2009-10-01,2009-10-02,2010-01-01,1133,63,False
18,2010-01-01,2009-12-31,2010-01-05,2010-04-01,1196,61,False
19,2010-04-01,2010-04-01,2010-04-05,2010-07-01,1258,63,False
20,2010-07-01,2010-07-01,2010-07-02,2010-10-01,1321,64,False
21,2010-10-01,2010-10-01,2010-10-04,2011-01-01,1385,63,False
22,2011-01-01,2010-12-31,2011-01-04,2011-04-01,1448,62,False
23,2011-04-01,2011-04-01,2011-04-04,2011-07-01,1511,63,False
24,2011-07-01,2011-07-01,2011-07-05,2011-10-01,1574,63,False
25,2011-10-01,2011-09-30,2011-10-04,2012-01-01,1637,62,False
26,2012-01-01,2011-12-30,2012-01-04,2012-04-01,1700,61,False
27,2012-04-01,2012-03-30,2012-04-03,2012-07-01,1762,62,False
28,2012-07-01,2012-06-29,2012-07-03,2012-10-01,1825,63,False
29,2012-10-01,2012-10-01,2012-10-02,2013-01-01,1889,61,False
30,2013-01-01,2012-12-31,2013-01-03,2013-04-01,1950,60,False
31,2013-04-01,2013-04-01,2013-04-02,2013-07-01,2011,64,False
32,2013-07-01,2013-07-01,2013-07-02,2013-10-01,2075,64,False
33,2013-10-01,2013-10-01,2013-10-02,2014-01-01,2139,63,False
34,2014-01-01,2013-12-31,2014-01-03,2014-04-01,2202,61,False
35,2014-04-01,2014-04-01,2014-04-02,2014-07-01,2264,63,False
36,2014-07-01,2014-07-01,2014-07-02,2014-10-01,2327,64,False
37,2014-10-01,2014-10-01,2014-10-02,2015-01-01,2391,63,False
38,2015-01-01,2014-12-31,2015-01-05,2015-04-01,2454,61,False
39,2015-04-01,2015-04-01,2015-04-02,2015-07-01,2516,63,False
40,2015-07-01,2015-07-01,2015-07-02,2015-10-01,2579,64,False
41,2015-10-01,2015-10-01,2015-10-02,2016-01-01,2643,63,False
42,2016-01-01,2015-12-31,2016-01-05,2016-04-01,2706,61,False
43,2016-04-01,2016-04-01,2016-04-04,2016-07-01,2768,64,False
44,2016-07-01,2016-07-01,2016-07-05,2016-10-01,2832,63,False
45,2016-10-01,2016-09-30,2016-10-04,2017-01-01,2895,62,False
46,2017-01-01,2016-12-30,2017-01-04,2017-04-01,2958,61,False
47,2017-04-01,2017-03-31,2017-04-04,2017-07-01,3020,62,False
48,2017-07-01,2017-06-30,2017-07-05,2017-10-01,3083,62,False
49,2017-10-01,2017-09-29,2017-10-03,2018-01-01,3146,62,False
50,2018-01-01,2017-12-29,2018-01-03,2018-04-01,3209,60,False
51,2018-04-01,2018-03-29,2018-04-03,2018-07-01,3270,63,False
52,2018-07-01,2018-06-29,2018-07-03,2018-10-01,3334,63,False
53,2018-10-01,2018-10-01,2018-10-02,2019-01-01,3398,62,False
54,2019-01-01,2018-12-31,2019-01-03,2019-04-01,3460,61,False
55,2019-04-01,2019-04-01,2019-04-02,2019-07-01,3522,63,False
56,2019-07-01,2019-07-01,2019-07-02,2019-10-01,3585,64,False
57,2019-10-01,2019-10-01,2019-10-02,2020-01-01,3649,63,False
58,2020-01-01,2019-12-31,2020-01-03,2020-04-01,3712,62,False
59,2020-04-01,2020-04-01,2020-04-02,2020-07-01,3775,63,False
60,2020-07-01,2020-07-01,2020-07-02,2020-10-01,3838,64,False
61,2020-10-01,2020-10-01,2020-10-02,2021-01-01,3902,63,False
62,2021-01-01,2020-12-31,2021-01-05,2021-04-01,3965,61,False
63,2021-04-01,2021-04-01,2021-04-05,2021-07-01,4027,63,False
64,2021-07-01,2021-07-01,2021-07-02,2021-10-01,4090,64,False
65,2021-10-01,2021-10-01,2021-10-04,2022-01-01,4154,63,False
66,2022-01-01,2021-12-31,2022-01-04,2022-04-01,4217,62,False
67,2022-04-01,2022-04-01,2022-04-04,2022-07-01,4280,62,False
68,2022-07-01,2022-07-01,2022-07-05,2022-10-01,4342,63,False
69,2022-10-01,2022-09-30,2022-10-04,2023-01-01,4405,62,False
70,2023-01-01,2022-12-30,2023-01-04,2023-04-01,4468,61,False
71,2023-04-01,2023-03-31,2023-04-04,2023-07-01,4530,61,False
72,2023-07-01,2023-06-30,2023-07-05,2023-10-01,4592,62,False
73,2023-10-01,2023-09-29,2023-10-03,2024-01-01,4655,62,False
74,2024-01-01,2023-12-29,2024-01-03,2024-04-01,4718,61,False
75,2024-04-01,2024-04-01,2024-04-02,2024-07-01,4780,63,False
76,2024-07-01,2024-07-01,2024-07-02,2024-10-01,4843,64,False
77,2024-10-01,2024-10-01,2024-10-02,2024-12-30,4907,62,False
