fold,retrain_date,train_end,test_start,test_end,train_days,test_days,leakage
3,2006-04-03,2006-04-03,2006-04-04,2006-07-03,252,63,False
4,2006-07-03,2006-07-03,2006-07-05,2006-10-02,315,63,False
5,2006-10-02,2006-10-02,2006-10-03,2007-01-03,378,63,False
6,2007-01-03,2007-01-03,2007-01-04,2007-04-02,441,61,False
7,2007-04-02,2007-04-02,2007-04-03,2007-07-02,502,63,False
8,2007-07-02,2007-07-02,2007-07-03,2007-10-01,565,63,False
9,2007-10-01,2007-10-01,2007-10-02,2008-01-02,628,64,False
10,2008-01-02,2008-01-02,2008-01-03,2008-04-01,692,61,False
11,2008-04-01,2008-04-01,2008-04-02,2008-07-01,753,64,False
12,2008-07-01,2008-07-01,2008-07-02,2008-10-01,817,64,False
13,2008-10-01,2008-10-01,2008-10-02,2009-01-02,881,64,False
14,2009-01-02,2009-01-02,2009-01-05,2009-04-01,945,61,False
15,2009-04-01,2009-04-01,2009-04-02,2009-07-01,1006,63,False
16,2009-07-01,2009-07-01,2009-07-02,2009-10-01,1069,64,False
17,2009-10-01,2009-10-01,2009-10-02,2010-01-04,1133,64,False
18,2010-01-04,2010-01-04,2010-01-05,2010-04-01,1197,61,False
19,2010-04-01,2010-04-01,2010-04-05,2010-07-01,1258,63,False
20,2010-07-01,2010-07-01,2010-07-02,2010-10-01,1321,64,False
21,2010-10-01,2010-10-01,2010-10-04,2011-01-03,1385,64,False
22,2011-01-03,2011-01-03,2011-01-04,2011-04-01,1449,62,False
23,2011-04-01,2011-04-01,2011-04-04,2011-07-01,1511,63,False
24,2011-07-01,2011-07-01,2011-07-05,2011-10-03,1574,64,False
25,2011-10-03,2011-10-03,2011-10-04,2012-01-03,1638,63,False
26,2012-01-03,2012-01-03,2012-01-04,2012-04-02,1701,62,False
27,2012-04-02,2012-04-02,2012-04-03,2012-07-02,1763,63,False
28,2012-07-02,2012-07-02,2012-07-03,2012-10-01,1826,63,False
29,2012-10-01,2012-10-01,2012-10-02,2013-01-02,1889,62,False
30,2013-01-02,2013-01-02,2013-01-03,2013-04-01,1951,60,False
31,2013-04-01,2013-04-01,2013-04-02,2013-07-01,2011,64,False
32,2013-07-01,2013-07-01,2013-07-02,2013-10-01,2075,64,False
33,2013-10-01,2013-10-01,2013-10-02,2014-01-02,2139,64,False
34,2014-01-02,2014-01-02,2014-01-03,2014-04-01,2203,61,False
35,2014-04-01,2014-04-01,2014-04-02,2014-07-01,2264,63,False
36,2014-07-01,2014-07-01,2014-07-02,2014-10-01,2327,64,False
37,2014-10-01,2014-10-01,2014-10-02,2015-01-02,2391,64,False
38,2015-01-02,2015-01-02,2015-01-05,2015-04-01,2455,61,False
39,2015-04-01,2015-04-01,2015-04-02,2015-07-01,2516,63,False
40,2015-07-01,2015-07-01,2015-07-02,2015-10-01,2579,64,False
41,2015-10-01,2015-10-01,2015-10-02,2016-01-04,2643,64,False
42,2016-01-04,2016-01-04,2016-01-05,2016-04-01,2707,61,False
43,2016-04-01,2016-04-01,2016-04-04,2016-07-01,2768,64,False
44,2016-07-01,2016-07-01,2016-07-05,2016-10-03,2832,64,False
45,2016-10-03,2016-10-03,2016-10-04,2017-01-03,2896,63,False
46,2017-01-03,2017-01-03,2017-01-04,2017-04-03,2959,62,False
47,2017-04-03,2017-04-03,2017-04-04,2017-07-03,3021,63,False
48,2017-07-03,2017-07-03,2017-07-05,2017-10-02,3084,63,False
49,2017-10-02,2017-10-02,2017-10-03,2018-01-02,3147,63,False
50,2018-01-02,2018-01-02,2018-01-03,2018-04-02,3210,61,False
51,2018-04-02,2018-04-02,2018-04-03,2018-07-02,3271,64,False
52,2018-07-02,2018-07-02,2018-07-03,2018-10-01,3335,63,False
53,2018-10-01,2018-10-01,2018-10-02,2019-01-02,3398,63,False
54,2019-01-02,2019-01-02,2019-01-03,2019-04-01,3461,61,False
55,2019-04-01,2019-04-01,2019-04-02,2019-07-01,3522,63,False
56,2019-07-01,2019-07-01,2019-07-02,2019-10-01,3585,64,False
57,2019-10-01,2019-10-01,2019-10-02,2020-01-02,3649,64,False
58,2020-01-02,2020-01-02,2020-01-03,2020-04-01,3713,62,False
59,2020-04-01,2020-04-01,2020-04-02,2020-07-01,3775,63,False
60,2020-07-01,2020-07-01,2020-07-02,2020-10-01,3838,64,False
61,2020-10-01,2020-10-01,2020-10-02,2021-01-04,3902,64,False
62,2021-01-04,2021-01-04,2021-01-05,2021-04-01,3966,61,False
63,2021-04-01,2021-04-01,2021-04-05,2021-07-01,4027,63,False
64,2021-07-01,2021-07-01,2021-07-02,2021-10-01,4090,64,False
65,2021-10-01,2021-10-01,2021-10-04,2022-01-03,4154,64,False
66,2022-01-03,2022-01-03,2022-01-04,2022-04-01,4218,62,False
67,2022-04-01,2022-04-01,2022-04-04,2022-07-01,4280,62,False
68,2022-07-01,2022-07-01,2022-07-05,2022-10-03,4342,64,False
69,2022-10-03,2022-10-03,2022-10-04,2023-01-03,4406,63,False
70,2023-01-03,2023-01-03,2023-01-04,2023-04-03,4469,62,False
71,2023-04-03,2023-04-03,2023-04-04,2023-07-03,4531,62,False
72,2023-07-03,2023-07-03,2023-07-05,2023-10-02,4593,63,False
73,2023-10-02,2023-10-02,2023-10-03,2024-01-02,4656,63,False
74,2024-01-02,2024-01-02,2024-01-03,2024-04-01,4719,61,False
75,2024-04-01,2024-04-01,2024-04-02,2024-07-01,4780,63,False
76,2024-07-01,2024-07-01,2024-07-02,2024-10-01,4843,64,False
77,2024-10-01,2024-10-01,2024-10-02,2024-12-30,4907,62,False
